,timestamp,value,pressure
94625,1420909200,2350,1011.14
94626,1420912800,2431,1011.95
94627,1420916400,2400,1012.63
94628,1420920000,2443,1012.63
94629,1420923600,2373,1012.73
94630,1420927200,2342,1013.03
94631,1420930800,2329,1012.49
94632,1420934400,2398,1012.49
94633,1420938000,2380,1012.05
94634,1420941600,2487,1011.48
94635,1420945200,2443,1011.21
94636,1420948800,2443,1010.87
94637,1420952400,2428,1010.83
94638,1420956000,2399,1011.1
94639,1420959600,2330,1011.38
94640,1420963200,2383,1012.26
94641,1420966800,2322,1013.44
94642,1420970400,2351,1014.22
94643,1420974000,2329,1015.3
94644,1420977600,2327,1015.95
94645,1420981200,2307,1016.35
94646,1420984800,2388,1016.49
94647,1420988400,2257,1016.86
94648,1420992000,2317,1017.23
94649,1420995600,2278,1017.5
94650,1420999200,2319,1017.67
94651,1421002800,2337,1017.54
94652,1421006400,2278,1017.44
94653,1421010000,2378,1016.79
94654,1421013600,2317,1016.79
94655,1421017200,2272,1016.01
94656,1421020800,2266,1016.01
94657,1421024400,2356,1015.37
94658,1421028000,2337,1014.79
94659,1421031600,2293,1014.25
94660,1421035200,2388,1013.58
94661,1421038800,2369,1012.39
94662,1421042400,2313,1011.82
94663,1421046000,2445,1010.83
94664,1421049600,2417,1010.73
94665,1421053200,2425,1010.09
94666,1421056800,2429,1009.68
94667,1421060400,2462,1009.14
94668,1421064000,2431,1008.36
94669,1421067600,2429,1007.72
94670,1421071200,2441,1007.68
94671,1421074800,2305,1007.28
94672,1421078400,2425,1007.18
94673,1421082000,2409,1007.28
94674,1421085600,2520,1006.97
94675,1421089200,2386,1007.07
94676,1421092800,2408,1006.7
94677,1421096400,2399,1006.36
94678,1421100000,2513,1005.89
94679,1421103600,2449,1005.18
94680,1421107200,2566,1005.18
94681,1421110800,2517,1004.03
94682,1421114400,2528,1003.11
94683,1421118000,2566,1002.13
94684,1421121600,2549,1001.89
94685,1421125200,2549,1001.25
94686,1421128800,2558,1000.88
94687,1421132400,2506,1000.44
94688,1421136000,2594,1000.13
94689,1421139600,2571,1000.27
94690,1421143200,2632,1000.34
94691,1421146800,2565,1000.06
94692,1421150400,2562,999.76
94693,1421154000,2559,999.997
94694,1421157600,2554,1000.61
94695,1421161200,2628,1001.11
94696,1421164800,2600,1001.39
94697,1421168400,2591,1000.88
94698,1421172000,2489,1000.61
94699,1421175600,2513,1001.35
94700,1421179200,2534,1002.06
94701,1421182800,2634,1002.1
94702,1421186400,2520,1002.1
94703,1421190000,2595,1001.08
94704,1421193600,2597,1001.08
94705,1421197200,2596,1001.39
94706,1421200800,2545,1001.42
94707,1421204400,2550,1001.89
94708,1421208000,2617,1002.2
94709,1421211600,2440,1002.33
94710,1421215200,2493,1002.5
94711,1421218800,2533,1002.81
94712,1421222400,2558,1003.35
94713,1421226000,2558,1003.82
94714,1421229600,2630,1003.21
94715,1421233200,2597,1003.28
94716,1421236800,2630,1003.69
94717,1421240400,2482,1004.33
94718,1421244000,2495,1005.55
94719,1421247600,2515,1006.91
94720,1421251200,2534,1007.62
94721,1421254800,2445,1008.5
94722,1421258400,2437,1008.73
94723,1421262000,2421,1008.46
94724,1421265600,2532,1008.06
94725,1421269200,2473,1007.34
94726,1421272800,2596,1006.06
94727,1421276400,2560,1002.2
94728,1421280000,2591,1002.2
94729,1421283600,2540,1000.27
94730,1421287200,2605,998.371
94731,1421290800,2601,996.813
94732,1421294400,2637,994.748
94733,1421298000,2721,992.919
94734,1421301600,2604,992.14
94735,1421305200,2712,991.361
94736,1421308800,2722,991.361
94737,1421312400,2686,991.023
94738,1421316000,2655,991.565
94739,1421319600,2655,991.937
94740,1421323200,2694,991.666
94741,1421326800,2736,991.429
94742,1421330400,2666,990.955
94743,1421334000,2690,990.786
94744,1421337600,2684,991.497
94745,1421341200,2711,991.632
94746,1421344800,2712,992.073
94747,1421348400,2669,992.75
94748,1421352000,2636,993.495
94749,1421355600,2654,994.274
94750,1421359200,2669,994.815
94751,1421362800,2613,996.136
94752,1421366400,2623,996.136
94753,1421370000,2645,996.678
94754,1421373600,2623,997.288
94755,1421377200,2648,998.066
94756,1421380800,2549,998.744
94757,1421384400,2591,999.252
94758,1421388000,2507,1000.06
94759,1421391600,2587,1000.54
94760,1421395200,2530,1001.39
94761,1421398800,2504,1002.3
94762,1421402400,2460,1002.5
94763,1421406000,2535,1002.77
94764,1421409600,2541,1002.88
94765,1421413200,2506,1002.54
94766,1421416800,2484,1002.4
94767,1421420400,2439,1002.77
94768,1421424000,2563,1003.48
94769,1421427600,2538,1003.45
94770,1421431200,2576,1004.16
94771,1421434800,2600,1004.7
94772,1421438400,2506,1005.08
94773,1421442000,2616,1005.62
94774,1421445600,2533,1006.4
94775,1421449200,2566,1007.89
94776,1421452800,2509,1007.89
94777,1421456400,2486,1008.6
94778,1421460000,2483,1009.24
94779,1421463600,2476,1009.41
94780,1421467200,2511,1009.92
94781,1421470800,2554,1010.16
94782,1421474400,2534,1010.6
94783,1421478000,2500,1011.0
94784,1421481600,2476,1011.82
94785,1421485200,2533,1012.32
94786,1421488800,2418,1012.63
94787,1421492400,2444,1012.76
94788,1421496000,2451,1012.59
94789,1421499600,2495,1012.19
94790,1421503200,2424,1011.75
94791,1421506800,2424,1011.75
94792,1421510400,2469,1011.61
94793,1421514000,2507,1011.24
94794,1421517600,2470,1011.17
94795,1421521200,2485,1011.07
94796,1421524800,2443,1011.17
94797,1421528400,2481,1011.17
94798,1421532000,2479,1011.24
94799,1421535600,2536,1011.21
94800,1421539200,2460,1011.21
94801,1421542800,2485,1010.9
94802,1421546400,2498,1010.73
94803,1421550000,2469,1010.6
94804,1421553600,2435,1010.36
94805,1421557200,2524,1010.05
94806,1421560800,2490,1009.99
94807,1421564400,2543,1009.89
94808,1421568000,2502,1010.16
94809,1421571600,2502,1010.05
94810,1421575200,2524,1010.26
94811,1421578800,2520,1010.19
94812,1421582400,2547,1009.92
94813,1421586000,2408,1009.72
94814,1421589600,2523,1009.65
94815,1421593200,2479,1009.92
94816,1421596800,2468,1010.09
94817,1421600400,2591,1010.19
94818,1421604000,2410,1010.63
94819,1421607600,2442,1010.8
94820,1421611200,2462,1010.97
94821,1421614800,2524,1011.31
94822,1421618400,2479,1011.51
94823,1421622000,2351,1011.58
94824,1421625600,2477,1011.58
94825,1421629200,2560,1011.51
94826,1421632800,2506,1011.61
94827,1421636400,2533,1011.31
94828,1421640000,2425,1011.27
94829,1421643600,2395,1011.24
94830,1421647200,2491,1011.38
94831,1421650800,2451,1011.34
94832,1421654400,2502,1011.51
94833,1421658000,2494,1011.58
94834,1421661600,2493,1011.68
94835,1421665200,2520,1011.51
94836,1421668800,2490,1011.27
94837,1421672400,2411,1010.9
94838,1421676000,2504,1010.49
94839,1421679600,2409,1010.39
94840,1421683200,2514,1010.49
94841,1421686800,2535,1010.56
94842,1421690400,2423,1010.6
94843,1421694000,2493,1010.66
94844,1421697600,2506,1010.6
94845,1421701200,2539,1010.7
94846,1421704800,2432,1010.73
94847,1421708400,2479,1010.87
94848,1421712000,2549,1010.87
94849,1421715600,2492,1010.66
94850,1421719200,2405,1010.8
94851,1421722800,2517,1010.56
94852,1421726400,2413,1010.33
94853,1421730000,2482,1010.29
94854,1421733600,2513,1010.46
94855,1421737200,2382,1010.83
94856,1421740800,2425,1011.17
94857,1421744400,2432,1011.54
94858,1421748000,2451,1011.88
94859,1421751600,2409,1011.82
94860,1421755200,2451,1011.31
94861,1421758800,2516,1011.07
94862,1421762400,2395,1011.0
94863,1421766000,2454,1010.93
94864,1421769600,2472,1010.8
94865,1421773200,2471,1011.0
