# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulseheights, pulseintegrals, 4xn, 4xt, t_trigger
651 /s9 (1356L, 1152594271, 456067510L, 1152594271456067510L, [143, 175, -1, -1], [-46, -56, -1, -1], -46.0, -56.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
663 /s6 (2362L, 1153575540, 432954656L, 1153575540432954656L, [63, 45, -1, -1], [-19, -12, -1, -1], -19.0, -12.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
664 /s13 (330L, 1153575540, 848415864L, 1153575540848415864L, [47, 994, -1, -1], [-14, -1130, -1, -1], -14.0, -1130.0, -1.0, -1.0, -999.0, 615.0, -1.0, -1.0, -999.0)
670 /s3 (5366L, 1153575683, 725543240L, 1153575683725543240L, [718, 258, -1, -1], [-262, -84, -1, -1], -262.0, -84.0, -1.0, -1.0, 547.5, -999.0, -1.0, -1.0, -999.0)
675 /s3 (5503L, 1153575769, 278767975L, 1153575769278767975L, [175, 54, -1, -1], [-58, -17, -1, -1], -58.0, -17.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
675 /s509 (5480L, 1153575769, 311752293L, 1153575769311752293L, [38, 29, -1, -1], [-9, 7, -1, -1], -9.0, -999.0, -1.0, -1.0, 0.0, 37.5, -1.0, -1.0, -999.0)
676 /s13 (652L, 1153575774, 132706548L, 1153575774132706548L, [74, 41, -1, -1], [-23, -11, -1, -1], -23.0, -11.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
678 /s5 (2297L, 1153575846, 109030960L, 1153575846109030960L, [75, 54, -1, -1], [-25, -16, -1, -1], -25.0, -16.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
678 /s509 (5912L, 1153575846, 99261652L, 1153575846099261652L, [38, 188, -1, -1], [-10, -60, -1, -1], -10.0, -60.0, -1.0, -1.0, -999.0, -999.0, -1.0, -1.0, -999.0)
680 /s509 (6082L, 1153575884, 361378716L, 1153575884361378716L, [169, 140, -1, -1], [92, 23, -1, -1], -999.0, -999.0, -1.0, -1.0, 30.0, 72.5, -1.0, -1.0, -999.0)
