6511;/s8008;(6011L,;1374964809;725273193L,;1374964809725273193L,;[35,;37;-1;-1],;[2491,;2379;-1;-1],;-999.0,;0.7366499900817871,;-1.0,;-1.0,;217.5,;12.5,;-1.0,;-1.0,;1095.0)
6511;/s8008;(6012L,;1374964809;725344438L,;1374964809725344438L,;[298,;61;-1;-1],;[4585,;606;-1;-1],;-999.0,;0.18764999508857727,;-1.0,;-1.0,;15.0,;127.5,;-1.0,;-1.0,;137.5)
6511;/s8009;(4236L,;1374964809;725306177L,;1374964809725306177L,;[68,;113;-1;-1],;[429,;2806;-1;-1],;0.243259996175766,;1.448.199.987.411.490,00;-1.0,;-1.0,;12.5,;1340.0,;-1.0,;-1.0,;1370.0)
6511;/s8009;(4237L,;1374964809;725316912L,;1374964809725316912L,;[153,;135;-1;-1],;[2284,;1865;-1;-1],;12.950.999.736.785.800,00;0.9625200033187866,;-1.0,;-1.0,;15.0,;210.0,;-1.0,;-1.0,;210.0)
6604;/s3104;(2106L,;1376899433;115684269L,;1376899433115684269L,;[58,;98;-1;-1],;[844,;455;-1;-1],;0.3829900026321411,;0.1440500020980835,;-1.0,;-1.0,;12.5,;1727.5,;-1.0,;-1.0,;1730.0)
6710;/s3203;(2455L,;1380861380;728858048L,;1380861380728858048L,;[158,;83;-1;-1],;[4084,;961;-1;-1],;12.711.999.416.351.300,00;0.3605799973011017,;-1.0,;-1.0,;12.5,;182.5,;-1.0,;-1.0,;200.0)
6711;/s3203;(2459L,;1380861381;130937889L,;1380861381130937889L,;[57,;53;-1;-1],;[290,;247;-1;-1],;0.09026700258255005,;0.09267699718475342,;-1.0,;-1.0,;1280.0,;15.0,;-1.0,;-1.0,;1282.5)
6837;/s301;(9413L,;1387739480;562079967L,;1387739480562079967L,;[81,;86;-1;-1],;[14681,;19417;-1;-1],;39.939.000.606.536.800,00;6.117.599.964.141.840,00;-1.0,;-1.0,;845.0,;380.0,;-1.0,;-1.0,;1155.0)
7119;/s8201;(10984L,;1399655556;893654040L,;1399655556893654040L,;[73,;54;-1;-1],;[15980,;14243;-1;-1],;5.844.299.793.243.400,00;5.348.899.841.308.590,00;-1.0,;-1.0,;137.5,;30.0,;-1.0,;-1.0,;165.0)
8043;/s303;(14396L,;1406537340;995665903L,;1406537340995665903L,;[58,;55;-1;-1],;[4139,;5256;-1;-1],;14.536.999.464.035.000,00;16.966.999.769.210.800,00;-1.0,;-1.0,;147.5,;80.0,;-1.0,;-1.0,;1145.0)
8043;/s303;(14397L,;1406537340;995713249L,;1406537340995713249L,;[62,;-999;-1;-1],;[3083,;-999;-1;-1],;1.082.800.030.708.310,00;-999.0,;-1.0,;-1.0,;842.5,;-999.0,;-1.0,;-1.0,;-999.0)
8250;/s13;(29416L,;1407792305;724426865L,;1407792305724426865L,;[142,;46;-1;-1],;[6953,;4146;-1;-1],;2.474.100.112.915.030,00;13.351.999.521.255.400,00;-1.0,;-1.0,;12.5,;942.5,;-1.0,;-1.0,;952.5)
8596;/s8002;(16500L,;1411572227;272304221L,;1411572227272304221L,;[378,;287;-1;-1],;[15019,;21424;-1;-1],;4.331.099.987.030.020,00;6.456.200.122.833.250,00;-1.0,;-1.0,;52.5,;15.0,;-1.0,;-1.0,;52.5)
9385;/s1003;(13592L,;1439502641;479298907L,;1439502641479298907L,;[71,;86;-1;-1],;[1479,;11398;-1;-1],;0.6947199702262878,;523.199.987.411.499,00;-1.0,;-1.0,;67.5,;22.5,;-1.0,;-1.0,;72.5)
9385;/s1003;(13593L,;1439502641;479326752L,;1439502641479326752L,;[45,;65;-1;-1],;[634,;4460;-1;-1],;0.2978000044822693,;2.047.300.100.326.530,00;-1.0,;-1.0,;35.0,;15.0,;-1.0,;-1.0,;40.0)
9571;/s1003;(14648L,;1439510538;231627349L,;1439510538231627349L,;[71,;75;-1;-1],;[736,;952;-1;-1],;0.33744001388549805,;0.4327400028705597,;-1.0,;-1.0,;15.0,;172.5,;-1.0,;-1.0,;175.0)
10310;/s510;(4537L,;1442232524;500731108L,;1442232524500731108L,;[46,;40;45;43],;[176,;314;216;316],;0.058788001537323,;0.09890899807214737,;0.06457400321960449,;0.11473000049591064,;10.0,;35.0,;47.5,;52.5,;137.5)
