# lightning_id, station_number, event_id, timestamp, nanoseconds, ext_timestamp, pulsehieghts, pulseintegrals, 4xn, 4xt, t_trigger
355 /s501 (9593L, 1120448460, 453685429L, 1120448460453685429L, [-1, -1, 30, 35], [-1, -1, 0, 4], -1.0, -1.0, 0.0, 0.0012598000466823578, -1.0, -1.0, 140.0, 142.5, -999.0)
358 /s301 (1244L, 1120448533, 614438742L, 1120448533614438742L, [-1, 61, -1, -1], [-1, 16, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 120.0, -1.0, -1.0, -999.0)
359 /s301 (1246L, 1120448534, 1381205L, 1120448534001381205L, [-1, 56, -1, -1], [-1, 8, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 110.0, -1.0, -1.0, -999.0)
361 /s301 (1415L, 1120448606, 60061394L, 1120448606060061394L, [-1, 70, -1, -1], [-1, -129, -1, -1], -1.0, -129.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
362 /s301 (1469L, 1120448624, 500015112L, 1120448624500015112L, [-1, 225, -1, -1], [-1, 109, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 0.0, -1.0, -1.0, -999.0)
362 /s304 (3402L, 1120448624, 500023966L, 1120448624500023966L, [121, 69, -1, -1], [-40, 22, -1, -1], -40.0, 0.025241000577807426, -1.0, -1.0, 50.0, 42.5, -1.0, -1.0, -999.0)
363 /s301 (1490L, 1120448675, 60140499L, 1120448675060140499L, [-1, 59, -1, -1], [-1, -33, -1, -1], -1.0, -33.0, -1.0, -1.0, -1.0, 150.0, -1.0, -1.0, -999.0)
365 /s301 (1728L, 1120448783, 573568784L, 1120448783573568784L, [-1, 101, -1, -1], [-1, 48, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 202.5, -1.0, -1.0, -999.0)
366 /s3 (2488L, 1120448797, 723071675L, 1120448797723071675L, [53, 48, -1, -1], [-21, -35, -1, -1], -21.0, -35.0, -1.0, -1.0, 2.5, 10.0, -1.0, -1.0, -999.0)
366 /s501 (9702L, 1120448797, 723027466L, 1120448797723027466L, [-1, -1, 38, 64], [-1, -1, -16, -13], -1.0, -1.0, -16.0, -13.0, -1.0, -1.0, 37.5, 65.0, -999.0)
368 /s301 (1819L, 1120448894, 240315157L, 1120448894240315157L, [-1, 84, -1, -1], [-1, -3, -1, -1], -1.0, -3.0, -1.0, -1.0, -1.0, 197.5, -1.0, -1.0, -999.0)
376 /s301 (1935L, 1120453207, 163448562L, 1120453207163448562L, [-1, 95, -1, -1], [-1, 127, -1, -1], -1.0, -999.0, -1.0, -1.0, -1.0, 390.0, -1.0, -1.0, -999.0)
377 /s301 (2019L, 1120453448, 77705584L, 1120453448077705584L, [-1, 59, -1, -1], [-1, -81, -1, -1], -1.0, -81.0, -1.0, -1.0, -1.0, 22.5, -1.0, -1.0, -999.0)
382 /s501 (10082L, 1120472688, 836818758L, 1120472688836818758L, [-1, -1, 34, 43], [-1, -1, -18, -34], -1.0, -1.0, -18.0, -34.0, -1.0, -1.0, 57.5, 140.0, -999.0)
384 /s3 (2777L, 1120474079, 161716350L, 1120474079161716350L, [63, 68, -1, -1], [-28, 54, -1, -1], -28.0, 0.048044998198747635, -1.0, -1.0, 105.0, 17.5, -1.0, -1.0, -999.0)
392 /s301 (2401L, 1121701655, 381827121L, 1121701655381827121L, [48, 52, -1, -1], [12, 95, -1, -1], -999.0, -999.0, -1.0, -1.0, 17.5, 20.0, -1.0, -1.0, -999.0)
393 /s301 (2462L, 1121701725, 467398946L, 1121701725467398946L, [58, 62, -1, -1], [-27, -30, -1, -1], -27.0, -30.0, -1.0, -1.0, 0.0, 157.5, -1.0, -1.0, -999.0)
394 /s301 (2512L, 1121701761, 711825327L, 1121701761711825327L, [83, 45, -1, -1], [185, -50, -1, -1], -999.0, -50.0, -1.0, -1.0, 27.5, 25.0, -1.0, -1.0, -999.0)
395 /s301 (2521L, 1121701782, 199243856L, 1121701782199243856L, [76, 60, -1, -1], [202, 120, -1, -1], -999.0, -999.0, -1.0, -1.0, 35.0, 55.0, -1.0, -1.0, -999.0)
396 /s301 (2587L, 1121701831, 989708064L, 1121701831989708064L, [40, 38, -1, -1], [-18, -11, -1, -1], -18.0, -11.0, -1.0, -1.0, 157.5, 435.0, -1.0, -1.0, -999.0)
402 /s301 (2917L, 1121703624, 824722310L, 1121703624824722310L, [52, 57, -1, -1], [-95, -121, -1, -1], -95.0, -121.0, -1.0, -1.0, 20.0, 22.5, -1.0, -1.0, -999.0)
424 /s501 (10541L, 1123839653, 817588379L, 1123839653817588379L, [-1, -1, 68, 101], [-1, -1, 8, 5], -1.0, -1.0, 0.004174999892711639, 0.0030664000660181046, -1.0, -1.0, 0.0, 327.5, -999.0)
424 /s509 (1686L, 1123839653, 817588640L, 1123839653817588640L, [82, 83, -1, -1], [15, 2, -1, -1], 0.01720999926328659, -999.0, -1.0, -1.0, 37.5, 312.5, -1.0, -1.0, -999.0)
442 /s10 (2598L, 1123842069, 220773504L, 1123842069220773504L, [29, 30, -1, -1], [0, 0, -1, -1], 0.0, -999.0, -1.0, -1.0, 240.0, 237.5, -1.0, -1.0, -999.0)
472 /s3 (3028L, 1124994001, 468084917L, 1124994001468084917L, [47, 55, -1, -1], [-29, -40, -1, -1], -29.0, -40.0, -1.0, -1.0, 160.0, 147.5, -1.0, -1.0, -999.0)
473 /s3 (3057L, 1124994073, 778477062L, 1124994073778477062L, [68, 87, -1, -1], [-11, -22, -1, -1], -11.0, -22.0, -1.0, -1.0, 157.5, 150.0, -1.0, -1.0, -999.0)
481 /s304 (6519L, 1124994501, 404891570L, 1124994501404891570L, [58, 41, -1, -1], [2, -1, -1, -1], 0.00038976999348960817, -1.0, -1.0, -1.0, 235.0, 237.5, -1.0, -1.0, -999.0)
482 /s304 (6613L, 1124994530, 661982470L, 1124994530661982470L, [221, 159, -1, -1], [-1, -7, -1, -1], -1.0, -7.0, -1.0, -1.0, 162.5, 245.0, -1.0, -1.0, -999.0)
484 /s304 (6959L, 1124994717, 133571969L, 1124994717133571969L, [68, 51, -1, -1], [5, -4, -1, -1], 0.0009744199924170971, -4.0, -1.0, -1.0, 237.5, 240.0, -1.0, -1.0, -999.0)
485 /s304 (6986L, 1124994744, 19290195L, 1124994744019290195L, [105, 60, -1, -1], [261, 152, -1, -1], 0.05086499825119972, 0.11029999703168869, -1.0, -1.0, 27.5, 32.5, -1.0, -1.0, -999.0)
504 /s304 (7918L, 1124996259, 32898620L, 1124996259032898620L, [51, 41, -1, -1], [5, 1, -1, -1], 0.0009744199924170971, 0.0007256799726746976, -1.0, -1.0, 237.5, 240.0, -1.0, -1.0, -999.0)
509 /s304 (8276L, 1124996542, 845164868L, 1124996542845164868L, [48, 34, -1, -1], [-6, -2, -1, -1], -6.0, -2.0, -1.0, -1.0, 225.0, 227.5, -1.0, -1.0, -999.0)
