XCOM: vinyltoluene

Constituents (Atomic Number : Fraction by Weight)
 Z=1	: 0.085290
 Z=6	: 0.914710
       PHOTON      SCATTERING      PHOTO-    PAIR PRODUCTION  TOTAL ATTENUATION
       ENERGY   COHERENT INCOHER. ELECTRIC    IN       IN       WITH   WITHOUT
                                 ABSORPTION NUCLEAR ELECTRON  COHERENT COHERENT
                                             FIELD    FIELD    SCATT.   SCATT.
         (MeV)    (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)   (cm2/g)

       8.000E+03 5.545E-13 5.903E-05 5.192E-11 1.410E-02 3.186E-03 1.734E-02 1.734E-02
       1.000E+04 3.548E-13 4.820E-05 4.154E-11 1.413E-02 3.201E-03 1.738E-02 1.738E-02
       1.500E+04 1.577E-13 3.331E-05 2.769E-11 1.417E-02 3.219E-03 1.742E-02 1.742E-02
       2.000E+04 8.869E-14 2.561E-05 2.077E-11 1.419E-02 3.230E-03 1.745E-02 1.745E-02
       3.000E+04 3.941E-14 1.766E-05 1.384E-11 1.422E-02 3.241E-03 1.748E-02 1.748E-02
       4.000E+04 2.217E-14 1.356E-05 1.038E-11 1.423E-02 3.248E-03 1.749E-02 1.749E-02
       5.000E+04 1.419E-14 1.104E-05 8.306E-12 1.424E-02 3.251E-03 1.750E-02 1.750E-02
       6.000E+04 9.852E-15 9.333E-06 6.921E-12 1.425E-02 3.254E-03 1.751E-02 1.751E-02
       8.000E+04 5.545E-15 7.159E-06 5.192E-12 1.425E-02 3.257E-03 1.752E-02 1.752E-02
       1.000E+05 3.548E-15 5.821E-06 4.153E-12 1.426E-02 3.259E-03 1.752E-02 1.752E-02
